GSM1887730	GSM2177026	GSM2177021	GSM2177023	GSM2177019	GSM2177022	GSM2177027	GSM2177025	GSM2177024	GSM2177018	GSM2177020	GSM2177017	GSM2828480	GSM2828481	GSM2828482	GSM2828483	GSM2828484	GSM2828485	GSM3407112	GSM3407113	GSM3407114
Cenpv	207	0	3	0	0	37	14	0	0	4	2	0	61	142	187	56	32	68	1	0	4
Cenpw	818	21	25	38	11	17	23	35	48	22	19	14	101	111	374	252	202	306	5	0	6
Cep104	7553	61	1089	42	675	82	58	35	45	94	578	253	652	521	300	859	854	564	86	71	153
Cep112	3	0	0	0	0	9	0	0	0	0	2	0	25	28	19	3	7	16	1	3	3
Cep120	7486	105	262	78	124	194	9	45	102	42	126	50	1271	872	412	1214	1305	627	164	126	187
Cep126	3	0	15	5	6	0	0	0	0	0	0	3	0	3	0	3	3	1	0	0	0
Cep128	2825	65	300	126	138	529	88	135	201	38	125	83	669	484	235	705	686	554	83	69	112
Cep131	1014	21	56	56	14	63	0	6	7	11	3	4	280	258	160	296	335	201	26	26	18
Cep135	1705	110	856	325	373	461	162	60	68	97	358	212	432	325	155	577	466	408	30	42	59
Cep152	1789	17	323	81	139	88	128	35	140	24	88	32	642	296	140	394	356	229	22	25	53
Cep162	1703	215	1487	355	602	560	138	115	234	105	525	302	347	334	144	499	511	398	79	81	144
Cep164	6797	102	734	218	431	279	229	87	165	70	338	156	428	352	431	786	576	765	38	26	84
Cep170	8492	139	557	393	286	537	89	64	255	68	208	109	734	694	337	813	845	555	177	112	257
Cep170b	2210	3	18	20	9	3	1	9	48	22	7	19	276	138	44	215	223	184	23	22	27
Cep19	973	0	147	54	80	62	0	0	0	8	39	13	377	303	431	534	480	464	11	11	12
Cep192	26428	20	417	31	179	129	63	35	135	56	114	77	1086	707	193	1189	1315	719	164	129	294
Cep250	10768	50	792	283	338	792	100	197	73	47	409	154	1287	963	600	1216	1162	765	133	117	219
Cep290	1130	127	3472	247	1668	741	152	102	182	156	1221	536	247	180	170	282	231	375	38	40	85
Cep295	3452	265	719	138	341	148	74	104	162	128	288	258	382	350	228	443	454	376	53	26	75
Cep350	10070	105	4420	309	1798	510	97	32	89	265	1546	667	1721	1234	912	1350	1218	1300	120	144	185
Cep41	1999	21	170	82	90	41	56	3	40	34	102	70	116	129	67	225	209	129	26	42	28
Cep44	2322	216	453	333	157	800	283	251	287	121	173	200	350	272	327	533	424	456	32	31	59
Cep55	3463	21	37	31	19	30	0	4	49	6	12	2	457	312	345	679	608	482	4	2	2
Cep57	19813	574	3644	962	1710	1357	575	531	593	466	1703	710	1427	1043	1124	2419	2244	2323	170	164	273
Cep57l1	1618	74	287	141	110	517	73	54	92	34	113	78	371	297	318	619	619	513	59	42	102
Cep63	5230	121	1438	93	731	190	88	122	257	195	874	316	663	586	518	867	791	735	80	63	116
Cep68	4751	88	99	101	34	186	29	21	90	58	57	59	897	993	432	859	910	522	82	72	161
Cep70	1867	72	433	20	242	14	33	21	22	82	130	137	346	303	272	539	449	425	48	43	74
Cep72	1019	9	38	22	7	12	13	5	21	10	11	14	198	155	112	272	234	214	22	19	26
Cep76	1781	30	53	36	13	46	22	22	33	23	26	12	235	235	122	253	301	211	18	7	22
Cep78	1600	0	123	30	50	125	26	0	84	20	40	15	312	237	200	411	376	236	31	24	51
Cep83	2691	220	1513	339	507	570	173	241	207	140	488	225	476	345	396	578	488	629	21	31	44
Cep85	71614	2273	9585	2069	5182	5774	2298	1900	5897	3644	5543	5998	7344	7119	5734	9401	8247	8008	668	756	889
Cep85l	1372	2	620	41	238	73	13	16	45	43	227	89	459	238	148	355	432	306	50	57	62
Cep89	1468	173	425	266	266	1193	211	53	640	101	208	182	426	383	425	469	430	360	16	28	34
Cep95	1446	24	457	43	197	113	18	48	33	37	145	109	328	385	213	463	425	312	27	19	51
Cep97	1402	386	212	548	82	1878	1150	385	1052	31	180	72	172	207	155	271	280	213	34	18	56
Cept1	7871	105	180	168	93	346	181	88	365	138	110	136	1296	2217	1222	1447	1217	1350	129	103	272
Cer1	10	67	53	93	55	47	77	19	35	29	15	40	18	14	13	5	11	9	7	2	13
Cercam	1941	7	40	14	33	78	31	73	50	7	16	24	220	191	115	404	355	260	13	6	16
Cerk	28487	143	685	234	420	341	46	101	293	253	401	188	3788	4117	1934	2725	2839	1641	307	221	355
Cerkl	218	206	420	333	234	673	237	147	275	117	216	204	38	36	49	42	42	55	7	3	18
Cers1	498	51	0	0	0	4	0	15	75	0	0	0	3	0	0	3	7	7	2	0	1
Cers2	21872	2	187	2	95	62	16	5	33	78	105	72	4859	4776	2000	5667	5261	3494	489	433	674
Cers3	4	12	13	51	0	366	20	55	154	6	1	0	4	1	0	1	1	0	3	1	0
Cers4	404	124	37	178	46	818	79	167	304	17	25	16	269	142	203	314	247	338	44	35	26
Cers5	6995	416	455	294	345	691	368	240	1151	141	273	331	920	660	597	1417	1205	1238	94	69	156
Cers6	27801	63	493	40	339	365	96	41	98	190	223	232	1467	990	385	1808	2047	1445	372	183	579
Ces1a	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Ces1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces1c	0	1	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ces1d	0	0	0	0	0	0	0	0	0	0	0	0	21	15	5	30	23	10	0	1	0
Ces1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Ces1f	2	8	12	0	7	27	0	0	13	0	1	0	4	1	0	1	0	1	0	0	2
Ces1g	21	19	1	24	10	43	1	2	20	3	2	10	2	2	5	5	7	2	0	0	1
Ces1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ces2a	0	4	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1
Ces2b	517	266	236	276	55	939	206	152	480	27	45	36	52	51	31	49	33	58	143	66	141
Ces2c	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0
Ces2d-ps	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0	0	0	0	2	2	1
Ces2e	0	0	0	0	0	0	0	0	0	0	0	0	3	2	5	0	2	0	1	0	0
Ces2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ces2g	2	0	0	1	1	15	15	0	23	0	0	2	45	137	79	183	134	134	1	2	4
Ces2h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces3a	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ces3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ces4a	0	0	0	8	0	13	0	15	16	0	0	0	0	1	0	0	0	2	1	0	3
Ces5a	10	293	173	152	516	364	205	28	84	330	497	485	0	0	0	5	3	3	7	6	14
Cetn1	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cetn2	13613	553	1018	946	385	1192	382	827	887	171	348	337	977	857	1111	1999	1733	2165	89	120	190
Cetn3	9230	72	369	127	133	139	60	66	180	59	110	151	674	948	1635	1529	1143	1951	62	86	168
Cetn4	172	44	31	37	10	202	42	33	151	2	4	16	16	17	19	39	21	15	9	5	10
Cfap100	25	0	1	0	0	0	1	0	24	0	0	0	1	3	2	3	1	3	0	2	0
Cfap126	696	0	8	0	12	20	0	0	0	8	8	7	30	46	45	41	29	40	0	3	2
Cfap157	30	11	0	0	1	14	14	4	32	2	0	0	1	7	4	5	2	1	3	0	4
Cfap161	5	0	0	19	0	0	0	0	0	0	0	0	7	0	0	11	0	3	0	0	0
Cfap20	2728	4	130	0	87	0	10	0	18	36	74	43	603	488	496	920	775	874	60	50	80
Cfap206	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Cfap221	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	2
Cfap36	4669	423	1075	240	502	524	242	153	227	111	276	212	393	332	482	834	656	824	51	69	93
Cfap43	8705	11	86	11	59	70	0	54	24	15	30	10	4112	1222	705	2816	2838	1808	218	180	360
Cfap44	6	0	0	23	3	29	0	0	34	0	1	1	3	9	4	1	1	5	1	0	8
Cfap45	252	10	59	80	28	155	48	26	126	21	56	40	89	111	117	212	120	171	40	31	36
Cfap46	34	47	34	98	10	202	8	132	160	5	3	8	2	1	5	2	3	1	2	3	5
Cfap52	0	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Cfap53	126	1	43	66	13	385	0	187	214	0	19	0	68	38	14	71	67	52	6	10	15
Cfap54	30	17	13	22	6	241	56	15	97	4	5	9	16	10	15	16	13	20	2	8	9
Cfap57	2	0	0	0	0	0	17	7	0	0	0	0	8	7	11	6	3	3	4	0	4
Cfap58	0	0	0	1	0	24	0	44	77	0	0	0	0	0	0	0	0	0	3	0	0
Cfap61	39	17	15	21	8	65	40	11	145	6	9	5	58	46	34	6	22	34	12	10	15
Cfap69	0	0	2	0	0	152	1	38	23	0	0	0	0	0	0	0	0	1	3	1	1
Cfap70	1	0	0	0	0	0	0	0	25	0	0	0	1	0	0	1	0	0	2	0	2
Cfap73	2	0	1	0	4	0	0	0	0	0	0	0	1	1	4	2	0	0	0	0	2
Cfap74	344	350	76	115	13	558	132	169	488	33	7	20	73	51	61	110	82	70	17	8	26
Cfap77	9	1	8	40	17	83	7	15	56	2	8	5	8	5	6	6	3	2	2	1	1
Cfap97	6492	21	757	121	252	131	13	38	122	104	295	280	269	305	265	578	568	455	76	67	89
Cfap99	0	0	0	0	0	0	0	0	11	0	0	0	1	2	0	3	0	0	0	0	2
Cfb	251	0	106	0	103	0	0	2	2	3	54	60	297	464	301	52	57	28	41	40	30
Cfc1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	1	0	0
Cfd	26	0	2	0	0	2	0	7	0	0	1	0	5	5	2	4	7	6	0	0	0
Cfdp1	11635	1917	2017	2755	837	2744	814	1265	1410	209	834	354	1073	1191	1736	1709	1465	1611	66	101	124
Cfh	276	3	0	3	0	109	19	0	7	1	0	0	325	537	208	97	73	53	1	4	18
Cfhr1	14	30	33	0	8	40	20	0	26	0	8	0	1	3	6	8	2	1	2	1	3
Cfhr2	0	0	0	0	0	14	0	0	11	0	0	0	0	0	0	0	0	0	3	1	0
Cfhr3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Cfi	0	8	0	0	0	45	0	1	17	0	0	1	0	0	1	0	0	0	1	0	0
Cfl1	258842	5039	8665	8895	8503	36439	11870	6633	15602	2421	4790	3798	13480	12950	16470	25919	21655	26580	995	1054	1724
Cfl2	2239	63	198	94	151	271	104	62	132	55	113	70	388	348	211	482	390	509	44	39	74
Cflar	14267	1218	8890	1825	4797	4046	1644	1708	2666	669	5102	1595	1479	1612	1223	1361	1221	1218	156	130	352
Cfp	55178	88	233	89	130	272	213	49	502	253	115	293	12947	29328	30808	6002	4867	4948	880	926	1397
Cftr	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	0
Cga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cggbp1	32593	310	2149	305	891	462	405	209	374	434	1110	672	2787	2456	1617	3268	3171	2698	337	238	490
Cgn	15	5	11	58	10	290	12	26	104	2	9	3	6	8	13	20	11	14	3	1	1
Cgnl1	2760	20	0	143	1	127	14	102	25	0	0	3	31	10	6	29	35	26	10	8	16
Cgref1	380	80	129	255	54	763	166	103	482	29	71	78	39	40	24	77	65	63	15	13	6
Cgrrf1	1528	11	74	0	24	52	1	8	15	5	22	5	307	499	655	367	306	444	14	14	29
Ch25h	3	0	4	0	1	0	0	0	0	0	0	0	5	4	4	0	8	12	1	1	2
Chac1	264	0	9	0	8	0	0	0	0	0	8	5	25	24	34	15	8	26	0	0	0
Chac2	433	10	18	30	13	1	0	0	39	7	7	11	52	86	78	107	67	127	0	0	0
Chad	17	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0
Chadl	69	0	0	0	0	0	0	0	0	0	0	0	22	17	5	8	7	19	2	3	4
Chaf1a	3707	625	159	752	46	957	430	511	552	4	51	9	552	519	460	741	660	454	12	6	8
Chaf1b	2745	30	39	32	18	120	0	9	125	14	30	15	407	408	508	611	528	512	16	15	14
Champ1	6070	26	215	0	184	60	34	5	69	59	127	128	625	514	264	498	504	226	41	41	59
Chat	0	3	0	1	6	0	0	0	0	0	4	0	1	0	5	3	1	5	4	1	1
Chchd1	4867	0	133	0	69	0	0	0	2	24	62	43	423	535	985	1126	990	1005	39	44	71
Chchd10	492	0	21	0	9	0	0	0	0	4	3	3	648	655	2231	383	337	488	7	9	17
Chchd2	24930	299	2150	268	1897	188	175	90	558	620	1047	870	4390	5176	11241	9220	7355	11314	338	330	444
Chchd3	13613	158	740	174	236	436	203	164	210	114	250	158	1026	848	1089	1637	1398	1649	82	95	122
Chchd4	2482	71	98	87	33	302	67	88	233	18	39	37	274	333	430	579	447	495	30	32	62
Chchd5	2116	19	53	24	85	58	21	49	34	8	38	20	161	219	286	421	319	391	14	7	16
Chchd6	3255	5	78	19	68	29	0	6	0	19	55	31	353	449	748	613	528	565	17	31	37
Chchd7	1625	111	138	95	50	447	110	133	381	38	58	58	321	323	616	737	586	834	19	26	42
Chd1	16954	1084	4689	887	2101	1291	811	502	906	440	1711	953	2419	1594	1198	1803	1826	1514	194	174	318
Chd1l	3723	112	253	61	160	96	68	52	27	33	124	76	858	600	344	890	859	419	64	43	85
Chd2	15914	2274	6841	4987	3514	5405	1269	2134	1895	620	3301	1209	2265	1339	1043	1664	1415	1481	314	264	463
Chd3	4811	894	205	1316	136	2695	780	944	2278	73	99	70	343	384	403	397	308	396	42	16	33
Chd3os	2917	0	113	69	93	44	44	19	20	41	77	65	159	120	176	362	385	367	9	9	21
Chd4	58571	4119	18603	5378	9495	6352	3253	2872	4469	1010	9013	4651	1743	1397	2018	1850	1614	2120	94	112	203
Chd5	6	3	1	3	2	83	21	15	6	0	3	4	0	0	0	1	2	11	4	2	3
Chd6	7936	399	2783	506	1094	850	397	197	441	455	933	900	1077	589	609	949	773	956	117	96	161
Chd7	2394	409	475	1023	287	944	685	232	542	329	256	256	1332	913	597	957	706	923	161	125	223
Chd8	22261	877	3690	1707	2420	3714	2281	1462	2117	877	1852	1592	877	648	563	906	719	804	107	71	153
Chd9	134089	1037	4885	1548	1224	2210	965	1012	1650	573	1045	1045	26238	19112	12558	32360	29777	25422	1469	1424	1920
Chdh	14552	53	844	183	379	172	145	66	25	168	271	444	2558	1633	322	4555	5277	2536	357	309	492
Chek1	1271	0	32	13	29	457	28	30	67	1	26	23	148	137	170	215	185	199	2	1	1
Chek2	1334	1	116	75	55	485	48	76	331	40	40	58	331	426	316	454	415	421	49	50	108
Cherp	18741	1	201	0	119	18	20	0	1	28	104	53	1567	1105	384	1781	1684	1161	143	150	275
Chfr	10873	51	1170	36	531	156	57	8	100	214	443	263	1116	1035	497	1596	1562	1084	107	94	152
Chga	2	5	0	0	6	3	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0
Chgb	1	0	2	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	1	0	0
Chia1	0	0	0	9	0	29	12	5	24	0	0	0	0	0	0	0	0	0	1	1	1
Chic1	112	663	318	796	215	2074	391	655	903	86	137	108	44	51	54	33	49	56	15	11	21
Chic2	12015	378	617	574	273	1535	414	379	942	244	270	317	1703	1594	1770	2846	2336	2969	164	157	265
Chid1	5904	140	157	160	66	713	170	48	503	61	51	55	680	780	569	960	942	674	84	94	117
Chil1	4	15	0	0	0	29	29	0	0	0	3	0	2426	1872	3430	2724	1930	2807	4	3	6
Chil3	0	0	0	0	0	0	0	0	18	0	0	0	25919	26066	44299	30653	21194	32214	1	20	126
Chil4	0	0	0	0	0	26	0	20	14	0	0	0	22	19	21	12	10	9	2	0	0
Chil5	1945	22	3	3	0	24	0	0	0	10	2	1	180	97	139	253	217	278	11	6	8
Chil6	3	22	0	0	1	92	8	0	26	1	0	3	0	0	0	0	0	0	0	1	1
Chit1	0	0	0	0	0	0	0	0	0	0	0	0	41	47	87	57	33	53	1	0	0
Chka	2097	532	339	491	249	1111	355	286	597	146	187	183	1833	1242	719	727	699	739	89	60	105
Chkb	3294	74	305	73	167	129	128	43	71	115	119	80	976	1078	936	1156	951	1060	99	76	121
Chl1	3	27	2	33	0	47	55	34	123	5	0	5	0	1	1	6	2	4	2	1	5
Chm	4770	120	747	485	278	336	531	101	202	211	359	310	593	605	246	532	571	435	68	75	124
Chml	4702	176	296	404	110	728	114	94	332	88	76	94	111	112	84	126	162	132	20	12	15
Chmp1a	21236	0	150	14	90	50	0	0	7	24	75	39	2632	2965	2980	4326	4024	2868	270	266	398
Chmp1b	15369	51	1253	161	847	293	65	68	234	138	427	219	1736	1028	1139	1836	1574	1568	185	162	300
Chmp2a	23041	13	1031	41	560	104	44	0	134	129	239	162	1872	2146	3788	4285	3245	4239	160	181	293
Chmp2b	9732	13	739	26	318	101	81	18	86	117	314	288	1132	1043	872	1581	1338	1434	80	101	147
Chmp3	16425	484	2228	600	1349	1012	195	653	666	170	1230	568	1452	1659	1735	2080	1897	1557	125	125	190
Chmp4b	49445	315	3431	468	3234	1056	454	621	758	375	2405	661	420	314	625	600	468	649	52	33	90
Chmp4c	172	0	4	0	5	44	47	8	85	1	7	17	21	21	25	38	12	34	3	5	9
Chmp5	18287	243	5235	145	1886	339	208	57	344	114	1146	492	1268	1900	2376	2867	2452	2917	118	159	247
Chmp6	5018	19	66	0	59	51	4	18	30	5	36	32	1057	1119	1514	1575	1509	1266	77	82	138
Chmp7	5087	2	75	0	32	17	1	3	16	20	42	10	995	1136	741	1531	1392	939	117	110	160
Chn1	8	0	0	21	0	0	0	0	0	0	0	0	6	3	1	1	9	7	0	1	2
Chn2	166	74	41	41	7	66	32	45	57	7	23	7	269	446	273	139	95	105	8	6	17
Chodl	0	0	0	50	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
Chordc1	9455	125	1355	74	594	118	20	65	93	161	605	367	1537	1762	925	2780	2794	1912	182	179	328
Chp1	17375	0	233	22	128	41	50	26	83	64	117	96	2025	1907	1180	2508	2350	2082	100	93	137
Chp2	0	0	0	13	0	37	21	21	57	0	0	0	866	2330	1525	24	18	19	0	2	0
Chpf	598	0	0	0	4	52	0	0	7	0	2	2	375	334	231	133	128	145	17	13	11
Chpf2	10297	0	351	0	45	14	0	0	0	32	22	45	1162	1151	861	1472	1437	1148	172	135	217
Chpt1	2170	1900	2551	2698	1835	9439	2436	2049	5671	2023	2127	2192	330	361	360	390	390	414	55	45	74
Chrac1	6947	47	487	47	245	259	57	68	128	55	177	96	715	733	1258	1329	1057	1404	95	87	157
Chrd	0	0	4	0	0	0	0	0	0	0	0	3	0	0	2	0	0	1	3	0	1
Chrdl1	0	0	0	10	0	47	0	22	107	0	0	0	29	10	35	27	21	14	0	0	0
Chrdl2	10	11	0	0	0	32	0	0	8	0	0	0	0	0	4	2	0	1	4	1	1
Chrm1	37	160	23	39	11	500	20	169	426	16	7	4	19	4	25	18	15	15	10	6	8
Chrm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Chrm3	3	0	0	4	0	48	0	5	19	0	0	0	19	16	6	37	27	16	0	0	2
Chrm4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
Chrm5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Chrna1	32	23	44	56	24	258	34	83	241	22	20	29	11	13	24	14	12	27	9	5	12
Chrna10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrna2	116	12	11	0	13	35	20	0	1	10	13	2	27	14	17	22	19	30	3	8	2
Chrna3	0	0	0	0	0	43	0	15	0	0	2	3	0	2	0	0	0	0	1	0	0
Chrna4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
Chrna5	12	0	9	1	1	41	1	0	36	1	3	1	11	10	2	6	6	6	7	4	6
Chrna6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrna7	0	0	0	0	0	27	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
Chrna9	12	0	3	0	0	0	0	0	0	0	0	0	5	0	6	2	0	0	2	0	1
Chrnb1	1681	11	43	0	10	33	1	0	0	14	34	10	223	113	62	333	270	240	42	42	40
Chrnb2	686	77	418	95	203	676	190	166	155	150	224	219	26	28	24	27	29	36	5	1	16
Chrnb3	45	237	99	344	53	603	188	283	372	13	38	41	20	11	8	12	12	13	5	3	6
Chrnb4	6	2	10	50	2	41	12	29	74	1	9	1	2	0	4	4	0	4	5	0	1
Chrnd	3	0	6	3	1	18	18	6	8	1	0	0	10	0	1	7	5	11	4	0	1
Chrne	7	0	0	0	0	0	0	0	0	0	0	0	4	2	3	5	5	2	1	0	1
Chrng	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0
Chst1	2	0	0	2	0	106	0	21	49	0	0	0	12	6	2	1	0	3	2	2	2
Chst10	112	47	76	111	20	248	19	79	110	17	20	30	128	67	68	144	100	75	11	11	17
Chst11	2290	6	206	0	117	40	0	0	5	37	176	75	77	84	78	102	106	164	3	4	6
Chst12	12089	159	104	218	56	578	194	223	393	53	52	51	1618	1315	1465	2972	2586	2671	173	184	278
Chst13	1	0	0	0	0	0	0	0	0	0	0	0	92	81	173	129	107	149	2	0	0
Chst14	1502	0	14	3	11	0	0	0	0	9	3	3	189	346	151	271	253	198	24	21	34
Chst15	13369	205	542	334	306	870	143	396	1041	151	351	261	2741	1981	832	3224	3035	2250	336	273	392
Chst2	33	27	33	205	7	497	62	71	453	14	5	4	47	35	30	47	23	46	4	2	9
Chst3	4764	223	302	167	148	493	208	98	75	35	120	77	684	610	652	418	337	277	53	26	58
Chst4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Chst5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0
Chst7	9	0	27	0	7	0	0	0	0	0	14	5	57	93	113	0	9	28	0	2	1
Chst8	0	0	0	0	0	66	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
Chst9	0	0	0	40	0	2	42	0	19	0	0	1	0	0	0	0	0	0	0	1	0
Chsy1	4323	80	111	71	36	34	66	17	38	10	44	68	745	754	467	735	631	518	46	23	71
Chsy3	8	0	0	0	0	0	0	0	0	0	0	0	7	0	5	1	0	0	0	0	2
Chtf18	1127	0	2	0	4	22	0	0	0	0	0	0	366	319	261	364	439	317	5	9	8
Chtf8	22184	3	157	2	13	8	11	25	2	6	13	10	1072	1114	539	1336	1422	927	130	68	142
Chtop	34968	224	817	127	351	306	172	222	536	237	373	427	3365	2511	1393	4193	4390	3138	321	286	454
Chuk	19293	570	1637	1110	1087	2036	495	356	963	392	715	432	1744	1483	550	2168	2166	1767	392	320	488
Churc1	10271	24	439	280	192	994	258	196	721	124	250	186	873	1040	1837	2317	1969	2527	128	110	244
Ciao1	8045	27	180	93	120	189	39	52	196	62	115	93	558	817	809	1156	1022	880	55	64	70
Ciapin1	5605	199	194	155	94	347	305	377	533	30	65	68	771	742	940	1376	1179	1143	82	84	110
Ciart	488	0	24	38	10	37	15	3	42	11	15	6	602	88	110	189	130	188	26	15	25
Cib1	21386	0	472	0	216	0	0	0	32	157	284	196	1795	1879	3163	4658	3920	4500	231	260	402
Cib2	4630	67	118	134	53	192	111	39	168	81	41	49	498	880	1659	632	515	634	22	44	59
Cib3	15	0	0	0	0	0	0	0	0	0	1	0	8	0	2	1	3	4	0	0	0
Cib4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Cic	36360	17	495	24	166	29	0	0	17	100	224	171	623	434	495	779	585	737	67	49	107
Cidea	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Cideb	5	0	0	0	0	19	0	0	0	0	0	0	6	18	13	0	4	5	0	0	0
Cidec	0	0	0	0	0	18	0	0	0	0	0	0	2	10	3	0	0	0	2	0	2
Ciita	7423	18	1177	76	197	197	73	3	32	29	179	556	1162	667	443	1124	980	1055	398	386	482
Cilp	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Cilp2	14	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0
Cinp	1981	0	88	13	41	121	18	17	103	31	55	17	324	463	546	505	470	454	19	20	43
Cipc	4242	28	206	36	105	137	38	24	47	54	86	68	424	596	215	586	635	349	73	70	115
Cir1	7745	458	1809	632	983	1018	399	251	538	260	828	333	285	274	450	515	416	616	26	26	45
Cirbp	30355	30	110	47	42	123	21	13	32	32	52	48	1570	838	1389	2247	1702	2252	198	135	220
Cirh1a	4906	4	105	0	100	49	2	0	6	19	75	52	576	629	352	683	877	395	68	47	84
Cisd1	3691	35	381	54	307	243	65	143	184	55	155	186	500	659	1149	1230	1066	1090	32	43	79
Cisd2	9239	174	925	283	323	452	85	15	141	206	362	320	1229	1416	1473	1548	1247	1559	89	97	144
Cisd3	793	55	17	16	13	155	70	24	69	6	5	9	141	181	250	133	123	170	12	8	16
Cish	106	15	139	0	128	14	1	25	23	21	128	27	65	66	75	75	106	71	4	3	4
Cit	2324	90	128	114	39	762	168	42	279	18	58	29	593	479	417	567	434	412	3	4	10
Cited1	16	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	3	1	1	0	1
Cited2	8794	119	3880	103	2184	129	57	34	221	337	2255	1013	2644	4118	3581	1862	1412	1753	65	43	79
Cited4	14	0	4	0	3	21	0	0	0	0	2	0	35	38	36	44	33	39	2	1	4
Ciz1	9966	414	447	424	670	191	174	345	192	139	382	290	1464	1071	621	1699	1727	1143	148	148	183
Ckap2	1902	0	33	0	9	41	8	2	40	6	16	6	305	241	334	486	346	450	9	11	9
Ckap2l	3699	46	57	237	35	132	114	52	99	9	33	16	682	568	490	1055	1007	959	0	1	5
Ckap4	4806	87	31	245	12	426	228	41	183	36	7	62	2505	1538	3170	2459	1702	2815	8	13	16
Ckap5	15972	23	604	150	380	527	146	47	113	56	268	99	1456	1314	707	1321	1318	933	139	115	235
Ckb	3703	0	8	0	0	14	23	0	25	4	10	1	2230	5792	5819	252	217	193	26	29	57
Ckb-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2
Ckb-ps2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Cklf	2099	0	34	2	24	4	0	1	0	14	17	14	426	652	950	984	780	1099	26	35	74
Ckm	48	0	6	0	0	32	1	0	11	1	0	2	12	8	26	16	13	11	2	2	5
Ckmt1	0	0	0	21	3	285	0	0	18	0	0	0	1	0	1	0	0	0	2	1	5
Ckmt2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Cks1b	7493	18	17	13	9	23	0	0	41	6	8	21	1060	1015	2289	2610	2005	2935	18	23	29
Cks1brt	11	1	6	19	4	48	9	4	8	2	13	8	2	1	1	1	1	4	2	3	1
Cks2	4998	0	231	0	115	88	0	0	0	14	195	124	1358	819	2180	1894	1581	2248	13	17	23
Clasp1	4046	311	632	766	421	1444	267	320	746	145	323	212	1149	799	527	754	753	552	100	58	160
Clasp2	7594	50	102	377	47	165	42	21	64	46	100	50	912	964	348	799	740	355	73	64	86
Clasrp	3846	55	279	70	165	446	0	27	126	51	185	71	919	788	635	1231	1171	1008	73	83	105
